longitude,latitude,index,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,LAI
-84.46885566,31.19480672,40,0.0307,0.0616,0.032,0.1055,0.3125,0.366,0.4152,0.3941,0.2034,0.0964,3.634
-84.46885566,31.19480672,41,0.0431,0.0571,0.032,0.0863,0.2514,0.3136,0.348,0.339,0.1789,0.0823,2.02
-84.46885566,31.19480672,42,0.0259,0.049,0.0253,0.0839,0.2387,0.2895,0.2968,0.3124,0.1641,0.071,2.28
-84.46885566,31.19480672,43,0.0285,0.0501,0.0297,0.0904,0.2515,0.2924,0.3168,0.3169,0.1797,0.0854,2.88
-84.46885566,31.19480672,44,0.0263,0.0392,0.0243,0.0695,0.1785,0.2134,0.2406,0.2444,0.1552,0.071,1.412
-84.46885566,31.19480672,45,0.0209,0.0334,0.0284,0.0757,0.1621,0.1822,0.1792,0.2159,0.1661,0.0788,1.323
-84.46885566,31.19480672,46,0.0426,0.0458,0.0431,0.0871,0.1647,0.1904,0.161,0.2279,0.1943,0.1026,1.75
-84.46885566,31.19480672,47,0.0174,0.0234,0.0243,0.0655,0.1131,0.1366,0.122,0.1642,0.1484,0.0818,1.255
-84.46885566,31.19480672,48,0.0141,0.0187,0.0299,0.0505,0.0838,0.0985,0.091,0.1228,0.1638,0.0958,1.353
-84.46885566,31.19480672,49,0.0152,0.0252,0.0323,0.0637,0.1018,0.115,0.1172,0.1436,0.1834,0.1093,0.9806
-84.46885566,31.19480672,50,0.0273,0.0392,0.0536,0.0894,0.1227,0.1522,0.1455,0.1685,0.2226,0.142,1.471
-84.46885566,31.19480672,51,0.0244,0.047,0.0265,0.0688,0.1963,0.2363,0.2376,0.247,0.1261,0.0596,4.66
-84.46885566,31.19480672,52,0.0429,0.0711,0.0425,0.095,0.268,0.3165,0.3416,0.3346,0.1993,0.0929,2.68
-84.46885566,31.19480672,53,0.0192,0.0289,0.0346,0.0762,0.1275,0.1595,0.1368,0.1967,0.1775,0.097,2.569
-84.46885566,31.19480672,54,0.014,0.0252,0.0378,0.07,0.1064,0.1346,0.1132,0.1671,0.1667,0.0958,1.017
-84.46885566,31.19480672,55,0.0353,0.0581,0.0581,0.0985,0.1865,0.2296,0.2235,0.2426,0.1912,0.1249,1.215
-84.46885566,31.19480672,56,0.0365,0.0669,0.0436,0.1095,0.2767,0.3266,0.3144,0.3502,0.2077,0.1136,2.64
-84.46885566,31.19480672,57,0.0288,0.0578,0.0318,0.0816,0.248,0.301,0.3188,0.3257,0.1632,0.0822,2.41
-84.46885566,31.19480672,58,0.0337,0.0579,0.0342,0.0897,0.2465,0.2862,0.298,0.3155,0.1698,0.0849,4.86
-84.46885566,31.19480672,59,0.0535,0.0865,0.0595,0.1259,0.3102,0.3615,0.363,0.3921,0.23,0.123,4.981
-84.46885566,31.19480672,60,0.0483,0.0806,0.0567,0.1133,0.2958,0.3562,0.3736,0.373,0.2243,0.1182,2.12
-84.46885566,31.19480672,61,0.033,0.0593,0.0325,0.0815,0.2343,0.2766,0.3282,0.3046,0.1703,0.0798,2.35
-84.46885566,31.19480672,62,0.0444,0.0649,0.0408,0.0933,0.2354,0.272,0.2832,0.3169,0.1536,0.0736,2.01
-84.46885566,31.19480672,63,0.0114,0.0215,0.0226,0.0697,0.1346,0.1663,0.1488,0.1963,0.1317,0.0616,1.446
-84.46885566,31.19480672,64,0.0124,0.0229,0.0202,0.0638,0.1344,0.1516,0.1356,0.1881,0.1386,0.0672,3.753
-84.46885566,31.19480672,65,0.0295,0.0306,0.0354,0.0687,0.102,0.1307,0.1282,0.153,0.1538,0.082,2.85
-84.46885566,31.19480672,66,0.022,0.0284,0.0368,0.0678,0.1173,0.1403,0.1332,0.1673,0.1681,0.0959,1.16090804
-84.46885566,31.19480672,67,0.0372,0.0563,0.0586,0.1032,0.1828,0.2159,0.1954,0.2237,0.2282,0.131,2.339673928
-84.46885566,31.19480672,68,0.0548,0.0768,0.0612,0.1217,0.2524,0.2901,0.2864,0.3112,0.2225,0.1261,4.102700707
-84.46885566,31.19480672,69,0.0393,0.0559,0.0414,0.0868,0.2059,0.2465,0.2524,0.2649,0.1808,0.0966,1.978009983
-84.46885566,31.19480672,70,0.0374,0.0554,0.0357,0.0888,0.2095,0.2547,0.2546,0.2696,0.1786,0.1027,2.680873416
-84.46885566,31.19480672,71,0.0354,0.0526,0.0343,0.0847,0.2079,0.253,0.268,0.2759,0.1714,0.0892,3.278831548
-84.46885566,31.19480672,72,0.0764,0.1056,0.0704,0.1496,0.3179,0.3658,0.3793,0.4084,0.2553,0.1211,4.537547797
-84.46885566,31.19480672,73,0.0284,0.0575,0.0358,0.095,0.2391,0.2763,0.2878,0.3072,0.1983,0.0996,4.285336563
-96.61300032,39.11040168,74,0.0708,0.0982,0.0902,0.1445,0.2635,0.321,0.32,0.3524,0.2709,0.1856,1.41
-96.61300032,39.11040168,75,0.0628,0.0834,0.0746,0.1165,0.2228,0.2724,0.2764,0.2928,0.2467,0.1707,1.54
-96.61300032,39.11040168,76,0.0568,0.0834,0.0761,0.1189,0.2036,0.2359,0.246,0.2579,0.255,0.1845,0.46
-96.61300032,39.11040168,77,0.1382,0.15,0.1322,0.1708,0.3502,0.4317,0.4364,0.4516,0.3157,0.1995,1.98
-96.61300032,39.11040168,78,0.0545,0.0763,0.0658,0.1111,0.3082,0.3694,0.3924,0.4038,0.2697,0.1756,1.68
-96.61300032,39.11040168,79,0.0565,0.0882,0.0739,0.1361,0.273,0.3092,0.3104,0.3291,0.256,0.1743,1.57
-96.61300032,39.11040168,80,0.0472,0.0676,0.0736,0.12,0.1625,0.1818,0.198,0.2134,0.2464,0.1719,0.097
-96.61300032,39.11040168,81,0.0513,0.0666,0.0521,0.0854,0.2062,0.271,0.2554,0.2875,0.1891,0.1219,1.25
-96.61300032,39.11040168,82,0.0584,0.0876,0.0978,0.1511,0.2091,0.2396,0.2426,0.2721,0.2694,0.2058,0.045
-96.61300032,39.11040168,83,0.0534,0.0665,0.0526,0.0886,0.2101,0.2574,0.2612,0.2731,0.1783,0.1126,1.87
-96.61300032,39.11040168,84,0.0908,0.1172,0.1128,0.1806,0.2862,0.3094,0.3084,0.3393,0.369,0.2528,0.196
-96.61300032,39.11040168,85,0.0557,0.0782,0.0702,0.099,0.2558,0.3153,0.3088,0.334,0.2691,0.1817,1.286776768
-96.61300032,39.11040168,86,0.0748,0.0799,0.065,0.1023,0.3365,0.4756,0.3788,0.5063,0.2676,0.1585,2.425554452
-96.61300032,39.11040168,87,0.0512,0.0734,0.0554,0.0967,0.2698,0.3606,0.3364,0.379,0.2168,0.1175,1.68923261
-67.07693277,18.02119275,88,0.0436,0.0721,0.0878,0.1277,0.1966,0.225,0.24,0.2611,0.2794,0.1772,0.332
-67.07693277,18.02119275,89,0.0553,0.0817,0.0593,0.1096,0.2839,0.344,0.3311,0.3643,0.2472,0.1239,1.17
-67.07693277,18.02119275,90,0.0355,0.0666,0.0424,0.1004,0.3057,0.3805,0.3844,0.4116,0.255,0.128,1.24
-67.07693277,18.02119275,91,0.0574,0.0829,0.0535,0.1093,0.3237,0.4094,0.4096,0.4359,0.2597,0.1286,1.28
-67.07693277,18.02119275,92,0.0449,0.0796,0.0709,0.1339,0.2746,0.3279,0.3492,0.3637,0.3087,0.1711,1.15
-67.07693277,18.02119275,93,0.0628,0.093,0.0998,0.1531,0.2485,0.2886,0.2993,0.3263,0.3454,0.2129,0.52
-67.07693277,18.02119275,94,0.0754,0.1063,0.1128,0.1752,0.2838,0.3292,0.3367,0.3701,0.3702,0.2207,0.046
-67.07693277,18.02119275,95,0.0748,0.0969,0.0952,0.1417,0.2555,0.2941,0.3003,0.3372,0.3291,0.1987,1.12
-67.07693277,18.02119275,96,0.0748,0.1029,0.1061,0.1573,0.2871,0.3449,0.3266,0.3688,0.3481,0.2184,0.34
-67.07693277,18.02119275,97,0.0812,0.1118,0.1123,0.1676,0.3318,0.385,0.3659,0.4123,0.3409,0.1994,0.3
-67.07693277,18.02119275,98,0.0824,0.1025,0.104,0.151,0.2549,0.3187,0.2979,0.3491,0.327,0.2063,0.122
-67.07693277,18.02119275,99,0.0682,0.1023,0.1057,0.1582,0.2864,0.3415,0.3319,0.3682,0.34,0.2081,0.416
-67.07693277,18.02119275,100,0.071,0.1057,0.1016,0.1669,0.3132,0.3684,0.35,0.3966,0.3568,0.2075,0.99
-67.07693277,18.02119275,101,0.0759,0.097,0.0936,0.1365,0.2405,0.2689,0.271,0.302,0.2574,0.1467,0.73
-67.07693277,18.02119275,102,0.06,0.0887,0.0785,0.1278,0.2732,0.3554,0.3338,0.3734,0.2882,0.1607,0.365
-67.07693277,18.02119275,103,0.0364,0.0622,0.0715,0.1172,0.2103,0.2466,0.1801,0.2911,0.2346,0.162,1.13
-67.07693277,18.02119275,104,0.0497,0.0764,0.0515,0.1057,0.3011,0.3836,0.3619,0.4087,0.2531,0.1285,1.71
-67.07693277,18.02119275,105,0.0548,0.0839,0.0663,0.1303,0.2853,0.3384,0.3261,0.3692,0.2752,0.1514,1.36
-67.07693277,18.02119275,106,0.0408,0.0667,0.0606,0.1088,0.2452,0.2806,0.2858,0.3263,0.2356,0.127,0.88
-67.07693277,18.02119275,107,0.0327,0.0639,0.0478,0.1017,0.2735,0.3458,0.3443,0.3724,0.2306,0.1184,1.73
-67.07693277,18.02119275,108,0.1027,0.1298,0.1095,0.1644,0.2816,0.3196,0.3114,0.3507,0.2582,0.1668,0.671
-67.07693277,18.02119275,109,0.067,0.0954,0.0841,0.1385,0.2743,0.3368,0.3243,0.3547,0.3237,0.1946,1.62
